Concept MoodTag1 MoodTag2 Semantic1 Semantic2 Semantic3 Semantic4 Semantic5

however disgusting angry nevertheless withal still yet all_the_same
sterilize scared sad sterilise desex unsex desexualize desexualise
call_on_the_carpet disgusting sad take_to_task rebuke rag trounce reproof
drop_out sad angry give_up fall_by_the_wayside drop_by_the_wayside throw_in throw_in_the_towel
neutralize sad disgusting neutralise liquidate waste knock_off do_in
barricade angry sad block blockade stop block_off block_up
flip_one's_lid disgusting scared blow_up throw_a_fit hit_the_roof hit_the_ceiling have_kittens
flim-flam disgusting angry play_a_joke_on play_tricks trick fob fox
caressing disgusting sad cuddling fondling hugging kissing necking
chelonethida sad scared order_chelonethida pseudoscorpionida order_pseudoscorpionida pseudoscorpiones order_pseudoscorpiones
bedlam sad scared booby_hatch crazy_house cuckoo's_nest funny_farm funny_house
effeminacy sad scared effeminateness sissiness softness womanishness unmanliness
brawn angry sad brawniness muscle muscularity sinew heftiness
meagerness sad scared meagreness leanness poorness scantiness scantness
apparition angry sad phantom phantasm phantasma fantasm shadow
belly_laugh angry sad sidesplitter howler thigh-slapper scream wow
chatterer sad scared babbler prater chatterbox magpie spouter
freelancer sad scared freelance free-lance free_lance independent self-employed_person
dostoyevsky sad scared dostoevsky feodor_dostoyevsky fyodor_dostoyevsky feodor_dostoevski fyodor_dostoevski
paul angry sad saint_paul st._paul apostle_paul paul_the_apostle apostle_of_the_gentiles
buttercup sad scared butterflower butter-flower crowfoot goldcup kingcup
crinkleroot sad scared crinkle-root crinkle_root pepper_root toothwort cardamine_diphylla
kangaroo_paw sad scared kangaroo's_paw kangaroo's-foot kangaroo-foot_plant australian_sword_lily anigozanthus_manglesii
common_mullein disgusting sad great_mullein aaron's_rod flannel_mullein woolly_mullein torch
jimsonweed sad scared jimson_weed jamestown_weed common_thorn_apple apple_of_peru datura_stramonium
type_i_diabetes sad scared insulin-dependent_diabetes_mellitus iddm juvenile-onset_diabetes juvenile_diabetes growth-onset_diabetes
brucellosis sad scared undulant_fever malta_fever gibraltar_fever rock_fever mediterranean_fever
sickle-cell_anemia sad scared sickle-cell_anaemia sickle-cell_disease crescent-cell_anemia crescent-cell_anaemia drepanocytic_anemia
cutaneous_leishmaniasis sad scared old_world_leishmaniasis oriental_sore tropical_sore delhi_boil aleppo_boil
pellagra sad scared alpine_scurvy mal_de_la_rosa mal_rosso maidism mayidism
monocytic_leukemia sad scared monocytic_leukaemia monoblastic_leukemia monoblastic_leukaemia histiocytic_leukemia histiocytic_leukaemia
subacute_sclerosing_panencephalitis sad scared sspe inclusion_body_encephalitis subacute_inclusion_body_encephalitis sclerosing_leukoencephalitis subacute_sclerosing_leukoencephalitis
whole_shebang sad scared whole_kit_and_caboodle kit_and_caboodle whole_kit_and_boodle kit_and_boodle whole_kit
antihemophilic_factor sad scared antihaemophilic_factor antihemophilic_globulin antihaemophilic_globulin factor_viii hemofil
vitamin_d disgusting sad calciferol viosterol ergocalciferol cholecalciferol d
hadean sad scared hadean_time hadean_eon hadean_aeon priscoan priscoan_eon
