Concept,MoodTag1,MoodTag2,Semantic1,Semantic2,Semantic3,Semantic4,Semantic5
abdominal_breathing,sad,scared,tremble,caressing,sob,artificial_respiration,panting
ableism,joyful,interesting,ageism,nepotism,male_chauvinism,administration,obedience
abnegation,joyful,interesting,keeping,reenlistment,honoring,devotion,selflessness
absence_without_leave,sad,scared,salvation,putout,redemption,struggle,protection
absenteeism,joyful,interesting,administration,disobedience,obedience,issus,legal_action
abstract_expressionism,joyful,interesting,nematoda,tortricidae,gymnogyps,gracula,pitymys
acanthocephalan,sad,scared,archiannelid,arachnid,invertebrate,brachyuran,tumblebug
acanthopterygii,joyful,interesting,spirochaetales,cydippida,octopoda,scorpionida,anseres
acnidosporidia,joyful,interesting,polychaeta,tentaculata,sporozoa,asteroidea,copepoda
acoustic_guitar,surprising,admirable,colt,array,bait,concert_grand,dulciana
acquittal,joyful,interesting,legal_action,judgment_in_rem,judgment_on_the_merits,general_verdict,affirmation
acrobatics,joyful,interesting,athletic_game,celebration,antic,reel,magic_trick
actinopod,surprising,admirable,heliozoan,rhizopod,bacteria,sporozoan,flagellate
actual_sin,joyful,interesting,mortal_sin,pride,lust,evil,prostitution
acupuncture,sad,scared,treatment,medical_care,struggle,job,war
adrenergic_agonist_eyedrop,joyful,interesting,miotic_eyedrop,action,press,enterprise,labor
adult_education,sad,scared,directed_study,refresher_course,extracurricular_activity,struggle,protection
advent,interesting,joyful,success,passing,feat,hit,intemperance
aegyptopithecus,surprising,admirable,hominoid,hominid,primate,fetus,angwantibo
aepyorniformes,sad,scared,anoplura,heterostraci,mallophaga,anaspida,chelonethida
aerobe,surprising,admirable,hominid,bacteria,rhizopod,fetus,primate
african_crocodile,sad,scared,crocodilian_reptile,viper,snake,anapsid,tom
african_monitor,sad,scared,gila_monster,viper,snake,anapsid,tom
ageism,joyful,interesting,ableism,nepotism,male_chauvinism,administration,obedience
aggravated_assault,sad,scared,assault,mugging,battery,robbery,fall
aggro,sad,scared,last_straw,twit,raising_hell,aggravation,insult
agnatha,sad,scared,passer,chrysophyceae,entomostraca,metatheria,mammalia
agribusiness,joyful,interesting,administration,disobedience,obedience,issus,legal_action
airedale,sad,scared,sausage_dog,border_terrier,tom,domestic_animal,liver-spotted_dalmatian
airship,surprising,admirable,colt,drove,emergency_room,bait,booth
akeridae,sad,scared,belemnitidae,arcidae,passer,raphidae,hydrobatidae
algometry,sad,scared,struggle,protection,mischief,treatment,merrymaking
alienation_of_affection,sad,scared,mischief,misbehavior,pretense,fall,trespass
alley_cat,sad,scared,tom,domestic_animal,viper,monster,anapsid
alms-giving,sad,scared,alms,misdeal,salvation,putout,redemption
aloe,surprising,admirable,balsam,dicumarol,bracer,cox-2_inhibitor,buffered_aspirin
alpinism,sad,scared,march,break,drive,clamber,motion
ambage,sad,scared,motion,march,furor,wilt,break
amelioration,joyful,interesting,care,dismissal,humiliation,degradation,orgasm
american_bittern,surprising,admirable,european_bittern,ibis,ortygan,common_brant_goose,phalarope
american_saddle_horse,surprising,admirable,prancer,charger,arabian,crowbait,mudder
amrinone,surprising,admirable,balsam,dicumarol,bracer,cox-2_inhibitor,aloe
anaerobe,sad,scared,obligate_anaerobe,tom,plant,viper,monster
analytical_balance,surprising,admirable,colt,array,bait,chronometer,chronoscope
anapsid,disgusting,sad,snake,viper,animal,bird,young
anaspida,sad,scared,anoplura,heterostraci,mallophaga,chelonethida,nothosauria
anastigmatic_lens,surprising,admirable,colt,array,bait,airship,drove
anastylosis,sad,scared,murder,slaughter,oil_change,physical_rehabilitation,emendation
anglewing,surprising,admirable,hawkmoth,underwing,arctiid,red_underwing,holometabola
anguidae,sad,scared,kinosternidae,trionychidae,passer,belemnitidae,raphidae
anguis,sad,scared,passer,kinosternon,trionyx,rhynchoelaps,crocodylus
angwantibo,surprising,admirable,potto,hominid,primate,fetus,hominoid
animalia,sad,scared,passer,chrysophyceae,petromyzon,ostrea,belemnitidae
ankylosaur,surprising,admirable,nothosaur,dromaeosaur,armored_dinosaur,edmontonia,hominid
annelida,joyful,interesting,nematoda,platyhelminthes,pentastomida,pogonophora,nemertea
anomiidae,joyful,interesting,pectinidae,sepiidae,tortricidae,gelechiidae,gracilariidae
anopheles,sad,scared,passer,anthonomus,cuterebra,latrodectus,phthirius
anopheline,sad,scared,arachnid,invertebrate,hessian_fly,mediterranean_fruit_fly,gall_midge
anoplura,sad,scared,heterostraci,mallophaga,anaspida,chelonethida,nothosauria
anostraca,sad,scared,anoplura,heterostraci,mallophaga,anaspida,chelonethida
anser,sad,scared,passer,centrocercus,pterocles,apus,genus_trogon
anseres,joyful,interesting,acanthopterygii,spirochaetales,cydippida,octopoda,scorpionida
ant_thrush,surprising,admirable,spotted_antbird,hominid,fetus,primate,rock_wren
antheraea,joyful,interesting,fenusa,ctenocephalus,dermacentor,megachile,vanessa
anthonomus,sad,scared,passer,cuterebra,anopheles,latrodectus,phthirius
anthropoidea,joyful,interesting,acanthopterygii,spirochaetales,cydippida,octopoda,scorpionida
anthropophagy,sad,scared,mistreatment,atrocity,cruelty,maltreatment,burning
anti-takeover_defense,sad,scared,resistance,motion,march,furor,wilt
anticonvulsant,surprising,admirable,balsam,dicumarol,bracer,cox-2_inhibitor,aloe
antimalarial,surprising,admirable,balsam,dicumarol,bracer,cox-2_inhibitor,aloe
antineoplastic_antibiotic,surprising,admirable,bacitracin,antibiotic,demeclocycline_hydrochloride,doxorubicin,balsam
antipruritic,surprising,admirable,balsam,dicumarol,bracer,aphrodisiac,cox-2_inhibitor
